Accesibilidad,Opciones de servicio,Qué ofrece,Opciones del local,Servicios,Ambiente,Público usual,Planificación,Pagos,Menores,Estacionamiento,Nombre,Latitud,Longitud
N/A,"Asientos al aire libre, Retiros en la puerta, Entrega a domicilio, Para llevar, Consumo en el lugar, Aspectos destacados, Asientos en la terraza, Bar con juegos, Buenos cócteles, Deportes","Alcohol, Bebidas en hora feliz, Bebidas fuertes, Cerveza, Cócteles, Comida, Comida en el bar, Vino",Espacio con asientos,"Sanitario, Sanitarios unisex, Wi-Fi, Tiene Wi-Fi gratis","Agradable, Informal",Grupos,Se aceptan reservas,"Pagos con dispositivos móviles mediante NFC, Tarjetas de crédito, Tarjetas de débito, Tarjetas de crédito",N/A,"Estacionamiento gratuito en la calle, Estacionamiento pagado en la calle, Mascotas, Se permiten perros",SINNERS Microcervecería Floresta,-0.2061377,-78.4894837
"Entrada accesible para personas en silla de ruedas, Estacionamiento accesible para personas en silla de ruedas","Entrega sin contacto, Entrega a domicilio, Consumo en el lugar, Aspectos destacados, Buenos cócteles, Música en vivo, Presentaciones en vivo","Alcohol, Bebidas fuertes, Cerveza, Cócteles, Comida, Comida en el bar, Lugar para bailar, Vino",N/A,Sanitario,"Agradable, Informal",Grupos,Se aceptan reservas,Tarjetas de crédito,N/A,N/A,La Santa Cantina Pop,-0.2061377,-78.4894837
"Entrada accesible para personas en silla de ruedas, Espacio accesible para personas en silla de ruedas, Estacionamiento accesible para personas en silla de ruedas, Sanitarios accesibles para personas en silla de ruedas, Bucle magnético de asistencia","Asientos al aire libre, Entrega a domicilio, Para llevar, Consumo en el lugar, Aspectos destacados, Asientos en la terraza, Buenos cócteles, Deportes, Música en vivo, Presentaciones en vivo","Alcohol, Bebidas en hora feliz, Bebidas fuertes, Cerveza, Cócteles, Comida, Comida en el bar, Comidas en hora feliz, Vino","Se permiten alimentos de otro lugar, Espacio con asientos","Sanitario, Sanitarios unisex, Wi-Fi, Tiene Wi-Fi gratis","Agradable, Informal","Amigable con LGBTQ+, Espacio seguro para personas transgénero, Grupos",Se aceptan reservas,"Cheques, Pagos con dispositivos móviles mediante NFC, Tarjetas de crédito, Tarjetas de débito, Tarjetas de crédito, Mascotas, Se permiten perros",N/A,N/A,Holy Krank Pub,-0.208498,-78.4942044
"Entrada accesible para personas en silla de ruedas, Sanitarios accesibles para personas en silla de ruedas","Entrega a domicilio, Para llevar, Consumo en el lugar, Aspectos destacados, Presentaciones en vivo","Alcohol, Bebidas fuertes, Cerveza, Cócteles, Comida, Comida en el bar, Vino","Postres, Espacio con asientos","Sanitario, Sanitarios unisex","Agradable, Informal",Amigable con LGBTQ+,Se aceptan reservas,"Pagos con dispositivos móviles mediante NFC, Tarjetas de crédito, Tarjetas de débito, Tarjetas de crédito",Menú para niños,"Es un poco difícil encontrar espacio, Estacionamiento gratuito, Estacionamiento gratuito en la calle, Mascotas, Se permiten perros",Abysmo GastroPub UIO,-0.208498,-78.4942044
"Entrada accesible para personas en silla de ruedas, Espacio accesible para personas en silla de ruedas, Estacionamiento accesible para personas en silla de ruedas, Bucle magnético de asistencia","Asientos al aire libre, Retiros en la puerta, Para llevar, Consumo en el lugar, Aspectos destacados, Asientos en la terraza, Bar con juegos, Buenos cócteles, Deportes, Karaoke, Música en vivo, Noches de preguntas y respuestas, Presentaciones en vivo","Alcohol, Bebidas en hora feliz, Bebidas fuertes, Cerveza, Cócteles, Comida, Comida en el bar, Lugar para bailar, Vino",Espacio con asientos,"Sanitario, Sanitarios unisex, Wi-Fi, Tiene Wi-Fi gratis","Agradable, Informal","Amigable con LGBTQ+, Espacio seguro para personas transgénero, Grupos","Se requieren reservas, Se aceptan reservas","Pagos con dispositivos móviles mediante NFC, Tarjetas de crédito, Tarjetas de débito, Tarjetas de crédito",N/A,"Hay suficiente espacio, Estacionamiento gratuito en la calle, Estacionamiento pagado en la calle",Zmus Bar,-0.2051077,-78.4984745
"Entrada accesible para personas en silla de ruedas, Espacio accesible para personas en silla de ruedas, Sanitarios accesibles para personas en silla de ruedas, Estacionamiento accesible para personas en silla de ruedas","Para llevar, Consumo en el lugar, Aspectos destacados, Atención rápida, Bar con juegos, Deportes, Noches de preguntas y respuestas, Presentaciones en vivo","Alcohol, Aperitivos, Bebidas en hora feliz, Bebidas fuertes, Café, Cerveza, Cócteles, Comida, Comida en el bar, Comidas durante la madrugada, Lugar para bailar, Platos vegetarianos, Vino","Desayunos, Almuerzo, Cena, Postres, Espacio con asientos","Sanitario, Tiene bar, Wi-Fi, Tiene Wi-Fi gratis","Agradable, Informal","Amigable con LGBTQ+, Grupos, Recomendable para ir en familia",Se aceptan reservas,"Pagos con dispositivos móviles mediante NFC, Tarjetas de crédito, Tarjetas de débito, Tarjetas de crédito",N/A,"Hay suficiente espacio, Estacionamiento gratuito en la calle, Estacionamiento pagado, Estacionamiento pagado en la calle",Finn McCool's,-0.2048824,-78.4946443
N/A,"Para llevar, Consumo en el lugar, Aspectos destacados, Buenos cócteles, Música en vivo, Presentaciones en vivo","Alcohol, Bebidas fuertes, Cerveza, Cócteles, Comida, Comida en el bar, Vino",N/A,Sanitario,"Agradable, Informal",Grupos,Se aceptan reservas,Tarjetas de crédito,N/A,Estacionamiento gratuito en la calle,NecroniK,-0.2048824,-78.4946443
"Entrada accesible para personas en silla de ruedas, Sanitarios accesibles para personas en silla de ruedas","Asientos al aire libre, Entrega a domicilio, Para llevar, Consumo en el lugar, Aspectos destacados, Asientos en la terraza, Buenos cócteles, Presentaciones en vivo","Alcohol, Bebidas en hora feliz, Bebidas fuertes, Cerveza, Cócteles, Comida, Comida en el bar, Comidas en hora feliz, Lugar para bailar, Vino",Espacio con asientos,"Sanitario, Wi-Fi, Tiene Wi-Fi gratis","Agradable, Informal",Grupos,Se aceptan reservas,"Pagos con dispositivos móviles mediante NFC, Tarjetas de crédito, Tarjetas de débito, Tarjetas de crédito, Mascotas, Se permiten perros",N/A,N/A,Indie Beer Company,-0.2048824,-78.4946443
"Entrada accesible para personas en silla de ruedas, Estacionamiento accesible para personas en silla de ruedas","Consumo en el lugar, Entrega a domicilio, Aspectos destacados, Buenos cócteles, Karaoke","Alcohol, Bebidas fuertes, Cerveza, Cócteles, Comida, Comida en el bar, Lugar para bailar, Vino",N/A,Sanitario,"Agradable, Informal",Grupos,Se aceptan reservas,Tarjetas de crédito,N/A,N/A,Lucky Charm Pub & Beer,-0.2044828,-78.4928284
"Entrada accesible para personas en silla de ruedas, Espacio accesible para personas en silla de ruedas, Sanitarios accesibles para personas en silla de ruedas","Asientos al aire libre, Para llevar, Consumo en el lugar, Aspectos destacados, Asientos en la terraza, Chimenea","Alcohol, Aperitivos, Bebidas fuertes, Cerveza, Cócteles, Comida, Comida en el bar, Comidas durante la madrugada, Menú en braille, Vino","Almuerzo, Cena, Espacio con asientos","Sanitario, Tiene bar, Wi-Fi, Tiene Wi-Fi gratis","Agradable, Informal","Grupos, Recomendable para ir en familia",N/A,Solo dinero en efectivo,Sillas altas,"Estacionamiento gratuito, Estacionamiento gratuito en la calle",Rock & Beef Resto-Bar,-0.2044828,-78.4928284
