Comentario,Fecha,Estrellas,Nombre,Tipo Establecimiento,Tipo,Dirección,Coordenadas,Latitud,Longitud,Calificación,Fecha_numero
"El lugar es acogedor, con una particular, diversa y singular oferta de cervezas artesanales, algunas frutales, rubias, ipas y roja. Sin lugar a dudas un buen espacio para compartir entre amigos. Su comida es buena, dentro de una limitada oferta de platos para picar y acompañar una buena cerveza. La excelente selección de musica de los 80s y 90s con sus mejores exponentes de rock alternativo permiten disfrutar de una buena conversación. Personalmente repetiremos nuestras visitas y disfrutaremos de nuestras 🍻 favoritas la cerveza roja y en especial la Sinners Coco Ginger. 👌",Hace 4 meses,4 estrellas,SINNERS Microcervecería Floresta,Bar,Pub,"Andalucía N24-368 y, Quito 170109","('-0.2058599', '-78.4837398')",-0.2058599,-78.4837398,1,02/23/2024
"Excelente ambiente, acogedor, bueno para tomar una cerveza artesanal, y todas las cervezas tienen algo especial, puedes pedir una degustación antes de pedir, esta última vez que fui, no hubo mucha variedad de cervezas, lo que si fue algo decepcionante",Hace 4 meses,4 estrellas,SINNERS Microcervecería Floresta,Bar,Pub,"Andalucía N24-368 y, Quito 170109","('-0.2058599', '-78.4837398')",-0.2058599,-78.4837398,1,02/23/2024
"Full buen ambiente, y los chicos full amables, nos dieron consejos para las bebidas y estuvo muy buena la cerveza, también nos ofrecieron opciones alcohol free. La comida bastante buena, las pizzas recomendadisimas.",Hace 5 meses,5 estrellas,SINNERS Microcervecería Floresta,Bar,Pub,"Andalucía N24-368 y, Quito 170109","('-0.2058599', '-78.4837398')",-0.2058599,-78.4837398,1,01/24/2024
"Es un excelente lugar para pasar un buen rato la cerveza y la comida son bastantes buenos en cuanto al servicio me esperaba mucho mas, me atendió un mesero, Mike de hecho sentí que el joven entablo mucho contacto físico creo que en ese aspecto deberían poner un limite los encargados, fuera del servicio de ese mesero el resto de chicos fueron muy amables y respetuosos. Pero de ahí es un excelente lugar",Hace un mes,4 estrellas,SINNERS Microcervecería Floresta,Bar,Pub,"Andalucía N24-368 y, Quito 170109","('-0.2058599', '-78.4837398')",-0.2058599,-78.4837398,1,05/23/2024
"El lugar estuvo acogedor y un buen lugar pa reunirse y pasar un buen rato; la atención muy buena de las personas que nos atendieron y nos explicaron de las cervezas.
Sin embargo las cervezas como tal (a gusto personal) no estuvieron tan buenas tanto en tamaño por el precio, como en el sabor. Pueden ir probar y sacar sus propias conclusiones!",Hace un año,3 estrellas,SINNERS Microcervecería Floresta,Bar,Pub,"Andalucía N24-368 y, Quito 170109","('-0.2058599', '-78.4837398')",-0.2058599,-78.4837398,0,06/23/2023
"Increíble lugar para compartir unas cervezas! El ambiente es muy acogedor, tienen varios juegos y la atención es excelente. Está por demás decir que la cerveza es muy buena. 100% Recomendado 🍻",Hace 6 meses,5 estrellas,SINNERS Microcervecería Floresta,Bar,Pub,"Andalucía N24-368 y, Quito 170109","('-0.2058599', '-78.4837398')",-0.2058599,-78.4837398,1,12/25/2023
"""Sinners de la Floresta"" no es solo un bar-pub; es una experiencia. Aquí, el dorado néctar de cebada se transforma en obras maestras líquidas, con protagonistas como su capuchino Stout, que acaricia el paladar, o la Ginger IPA que reta a los más versados aficionados cerveceros. Pero no todo es espuma y lúpulo. Su carta coctelera es una sinfonía de sabores tradicionales y audaces creaciones de autor, listas para ser descubiertas.

Y aunque la cerveza y los cócteles podrían robarte toda la atención, déjame decirte: sus alitas y pizzas son actos estelares en este escenario gastronómico. Eso sí, las hamburguesas podrían ensayar un poco más antes de salir al escenario principal.

El ambiente, siempre vibrante y cálido, compensa cualquier espera, que aunque ocasionalmente extensa, es siempre atendida por un personal amable y dedicado. En definitiva, si tus planes incluyen relajarte y sumergirte en un mundo de sabores y experiencias, ""Sinners de la Floresta"" te espera con las puertas abiertas y una pinta fría. ¡Salud!",Hace 9 meses,5 estrellas,SINNERS Microcervecería Floresta,Bar,Pub,"Andalucía N24-368 y, Quito 170109","('-0.2058599', '-78.4837398')",-0.2058599,-78.4837398,1,09/26/2023
"Solo sugiero que el personal esté más al pendiente del cliente a su ingreso, es la 3 vez que vamos y nosotros nos acercamos siempre a solicitar que alguien se acerque a la mesa a tomar nuestro pedido. Por lo demás todo muy bien",Hace 4 meses,5 estrellas,SINNERS Microcervecería Floresta,Bar,Pub,"Andalucía N24-368 y, Quito 170109","('-0.2058599', '-78.4837398')",-0.2058599,-78.4837398,1,02/23/2024
"Es uno de mis favoritos 🥹♥️ sencillamente la cerveza es excelente y las alitas 10/10
La decoración super linda y tiene calefactores para los friolentos... Y área externa para fumadores.",Hace 3 semanas,5 estrellas,SINNERS Microcervecería Floresta,Bar,Pub,"Andalucía N24-368 y, Quito 170109","('-0.2058599', '-78.4837398')",-0.2058599,-78.4837398,1,06/01/2024
"El lugar muy acogedor, y sobre todo la atención breve, la comida y la cerveza Excelente",Hace 5 meses,5 estrellas,SINNERS Microcervecería Floresta,Bar,Pub,"Andalucía N24-368 y, Quito 170109","('-0.2058599', '-78.4837398')",-0.2058599,-78.4837398,1,01/24/2024
"Tiene una ubicación excelente, el local es bastante acogedor y existe buena variedad de cervezas para todos los gustos. La atención es bastante cordial y la música es acorde al ambiente.",Hace 4 semanas,5 estrellas,SINNERS Microcervecería Floresta,Bar,Pub,"Andalucía N24-368 y, Quito 170109","('-0.2058599', '-78.4837398')",-0.2058599,-78.4837398,1,05/25/2024
"Buen ambiente en el local, tiene diferentes spots que te hacen sentir siempre diferente cada vez que vas y escoges un nuevo spot, fui por una biela cream ale, y estaba buenisima!
2 bielas: 11$
Espero la próxima probar su comida.",Hace un año,4 estrellas,SINNERS Microcervecería Floresta,Bar,Pub,"Andalucía N24-368 y, Quito 170109","('-0.2058599', '-78.4837398')",-0.2058599,-78.4837398,1,06/23/2023
"Lo que me encanto es que me ofrecieron una botella de agua purificada como cortesía, como recomendación las cervezas artesanales para compartir con amigos y las picaditas.",Hace 7 meses,5 estrellas,SINNERS Microcervecería Floresta,Bar,Pub,"Andalucía N24-368 y, Quito 170109","('-0.2058599', '-78.4837398')",-0.2058599,-78.4837398,1,11/25/2023
"El mejor café que he probado en mi vida , y la cerveza 🍻☕ ni se diga , una buena atención y uff el bartender 10/10😍",Hace 5 meses,5 estrellas,SINNERS Microcervecería Floresta,Bar,Pub,"Andalucía N24-368 y, Quito 170109","('-0.2058599', '-78.4837398')",-0.2058599,-78.4837398,1,01/24/2024
EL lugar es muy bonito y el servicio excelente lo único que nos saco de onda fue que él administrador no parece tener conocimiento de las cervezas no es la primera vez que vamos pero si la primera vez que no saben explicar lo que venden y las cervezas del lugar son espectaculares 👌🏻…,Hace un mes,3 estrellas,SINNERS Microcervecería Floresta,Bar,Pub,"Andalucía N24-368 y, Quito 170109","('-0.2058599', '-78.4837398')",-0.2058599,-78.4837398,0,05/23/2024
"Comida bastante buena (la Quinta Paila bastante contundente 🤪), el ambiente muy entretenido pero el lugar algo pequeño y estrecho... La atención muy esmerada y gentil. Hace falta opciones de cervezas sin alcohol para las personas que no podemos ingerir licor. Recomendado!",Hace 11 meses,4 estrellas,SINNERS Microcervecería Floresta,Bar,Pub,"Andalucía N24-368 y, Quito 170109","('-0.2058599', '-78.4837398')",-0.2058599,-78.4837398,1,07/28/2023
"Un lugar perfecto para celebrar o simplemente pasar con amigos, la cerveza es la mejor que he probado en Quito sobre todo su cerveza de temporada, con sabor único. Además del un excelente servicio, rápido, eficiente y sobretodo muy pacientes y divertidos para recomendarnos que podemos servirnos y cómo combinar la orden. :)",Hace un año,5 estrellas,SINNERS Microcervecería Floresta,Bar,Pub,"Andalucía N24-368 y, Quito 170109","('-0.2058599', '-78.4837398')",-0.2058599,-78.4837398,1,06/23/2023
"Pésimo servicio, nunca nos pasaron la carta ni el QR, nos tocó buscar el menú en Internet, se demoraron más de media hora en pasarnos agua y sin vasos, en cada ronda de cervezas se demoraron más de 25 minutos.
Era nuestro lugar favorito pero ya no volveremos.",Hace un mes,1 estrella,SINNERS Microcervecería Floresta,Bar,Pub,"Andalucía N24-368 y, Quito 170109","('-0.2058599', '-78.4837398')",-0.2058599,-78.4837398,-1,05/23/2024
"Una muy linda experiencia, una rápida atención y todo muy sabroso... 😋😋 muy recomendado.
El ambiente es cálido.",Hace 9 meses,4 estrellas,SINNERS Microcervecería Floresta,Bar,Pub,"Andalucía N24-368 y, Quito 170109","('-0.2058599', '-78.4837398')",-0.2058599,-78.4837398,1,09/26/2023
"La cerveza es muy buena y tienen bastante variedad, los precios no son altos. La comida está bien y las porciones son bastante buenas. Lo único que no me gustó del lugar es que el área de fumadores no está totalmente aislada de los sitios cerrados y si suele entrar el humo",Hace 4 meses,5 estrellas,SINNERS Microcervecería Floresta,Bar,Pub,"Andalucía N24-368 y, Quito 170109","('-0.2058599', '-78.4837398')",-0.2058599,-78.4837398,1,02/23/2024
