Comentario,Fecha,Estrellas,Nombre,Tipo Establecimiento,Dirección,Coordenadas,Latitud,Longitud,Calificación,Fecha_numero
"Play House es un espacio increíble para todos, realice una clase de yoga con mascota en su espacio y conectamos con un momento de bienestar y tranquilidad, todos son super amables, el espacio ideal para hacer talleres, para hospedarse, conocer personas increíbles, recomendadisimo, gracias a Nelly, María Elena, Jessi, Gerardo, Candy y Fina.",una semana atrás en Google,5/5,PLAY House Quito,Hotel,"Julio Zaldumbide N24741, Quito 170109","('-0.2056418', '-78.4806273')",-0.2056418,-78.4806273,1.0,06/21/2024
"Me encanta ir a trabajar en el coworking de PlayHouse… es súper cómodo, tranquilo y sobre todo la buena energía de toda la gente que va. Lo más lindo es que es Pet Friendly 🐈🐕 además que el barrio es hermoso, hay cafeterías cerca y un chévere local de artesanías ecuatorianas para comprar regalos. En resumen, el lugar perfecto para ir a trabajar 🙃",Hace 2 meses en Google,5/5,PLAY House Quito,Hotel,"Julio Zaldumbide N24741, Quito 170109","('-0.2056418', '-78.4806273')",-0.2056418,-78.4806273,1.0,04/22/2024
Me encantó hacer co-working en Play House! Las instalaciones son muy acogedoras y los espacios son grandes para poder trabajar a gusto y concentrarse. Me encantó! Seguramente volveré ya que se siente como en casa!,Hace 8 meses en Google,5/5,PLAY House Quito,Hotel,"Julio Zaldumbide N24741, Quito 170109","('-0.2056418', '-78.4806273')",-0.2056418,-78.4806273,1.0,10/25/2023
"Paz, tranquilidad y diversidad. ¡Adoro PlayHouse!
Las ferias que realizan aquí son muy divertidas.
Para trabajar es un lugar muy bonito y el internet es maravilloso.  Si tienes presentaciones que hacer, el espacio es muy amplio y la luz es brutal.
100% recomendado.",Hace un año en Google,5/5,PLAY House Quito,Hotel,"Julio Zaldumbide N24741, Quito 170109","('-0.2056418', '-78.4806273')",-0.2056418,-78.4806273,1.0,06/22/2023
"Play House Quito de verdad lo recomiendo al mil porciento. Hoy pase un maravilloso día trabajando en sus cómodos espacios, compartiendo con personas maravillosas. Jess, una de las anfitrionas y dueña del lugar fue super amable y atenta conmigo, hasta un tinto de verano me compartieron! no se puede pedir más! Gracias chicas por toda su hospitalidad y por permitirme hacer uso de un espacio cómodo y acogedor. Espero verlas y repetir pronto una tarde como la de hoy!",Hace un año en Google,5/5,PLAY House Quito,Hotel,"Julio Zaldumbide N24741, Quito 170109","('-0.2056418', '-78.4806273')",-0.2056418,-78.4806273,1.0,06/22/2023
"Me encantó todo!!! Se siente la energía de paz en el lugar, fluyen las ideas de forma tan natural al trabajar en Play House.",Hace un año en Google,5/5,PLAY House Quito,Hotel,"Julio Zaldumbide N24741, Quito 170109","('-0.2056418', '-78.4806273')",-0.2056418,-78.4806273,1.0,06/22/2023
"Un sitio perfecto para estar con amigos o la familia, tiene espacios perfectos para realizar networking o trabajar, un lugar tranquilo para poder descansar en las noches, muy bien ubicado y muy tranquilo, recomendado al 100",Hace un año en Google,5/5,PLAY House Quito,Hotel,"Julio Zaldumbide N24741, Quito 170109","('-0.2056418', '-78.4806273')",-0.2056418,-78.4806273,1.0,06/22/2023
"Un lugar muy bueno para trabajar, excelente espacios y buen wifi. Lo mejor es que existen bares de chocolate y cafetería velez.",Hace un año en Google,5/5,PLAY House Quito,Hotel,"Julio Zaldumbide N24741, Quito 170109","('-0.2056418', '-78.4806273')",-0.2056418,-78.4806273,1.0,06/22/2023
Me encantó el lugar. Es un espacio perfecto para fluir e intercambiar ideas.,Hace un año en Google,5/5,PLAY House Quito,Hotel,"Julio Zaldumbide N24741, Quito 170109","('-0.2056418', '-78.4806273')",-0.2056418,-78.4806273,1.0,06/22/2023
"El mejor co-working en Quito. No solo por la ubicación, sino por la gente, el ambiente y la experiencia que ofrece. Super recomendado!",Hace un año en Google,5/5,PLAY House Quito,Hotel,"Julio Zaldumbide N24741, Quito 170109","('-0.2056418', '-78.4806273')",-0.2056418,-78.4806273,1.0,06/22/2023
"Excelente lugar para hospedarse, el lugar es grande, prolijo, cómodo y moderno. Sus anfitrionas Marielena y Nelly son geniales. Me ayudaron muchísimo en mi estadía en Quito. Lo recomiendo!",Hace 5 años en Google,5/5,PLAY House Quito,Hotel,"Julio Zaldumbide N24741, Quito 170109","('-0.2056418', '-78.4806273')",-0.2056418,-78.4806273,1.0,06/23/2019
"No habia visitado un lugar tan agradable y acogedor como este nunca antes.
Fui a un taller y me encanto. Para mi es y será una de mis mejores experiencias en este lugar.",Hace 4 años en Google,5/5,PLAY House Quito,Hotel,"Julio Zaldumbide N24741, Quito 170109","('-0.2056418', '-78.4806273')",-0.2056418,-78.4806273,1.0,06/22/2020
"Un lugar muy acogedor, con diversos ambientes que encantan, muy bien ubicado y excelente atención de sus anfitriones. Totalmente recomendado!",Hace 5 años en Google,5/5,PLAY House Quito,Hotel,"Julio Zaldumbide N24741, Quito 170109","('-0.2056418', '-78.4806273')",-0.2056418,-78.4806273,1.0,06/23/2019
"Un lindo lugar en plena Floresta, sector que se está destacando por su ambiente bohemio, bien situada con espacio para parqueos",Hace 5 años en Google,5/5,PLAY House Quito,Hotel,"Julio Zaldumbide N24741, Quito 170109","('-0.2056418', '-78.4806273')",-0.2056418,-78.4806273,1.0,06/23/2019
"Me encanta este Lugar!
Su magia se siente al llegar y al respirar una energía que inspira Crear 🍃…",Hace 4 años en Google,5/5,PLAY House Quito,Hotel,"Julio Zaldumbide N24741, Quito 170109","('-0.2056418', '-78.4806273')",-0.2056418,-78.4806273,1.0,06/22/2020
"Increíble espacio de coworking y Coliving, muy buena ubicación y muchas actividades variadas. Buenísimo",Hace 4 años en Google,5/5,PLAY House Quito,Hotel,"Julio Zaldumbide N24741, Quito 170109","('-0.2056418', '-78.4806273')",-0.2056418,-78.4806273,1.0,06/22/2020
Un lugar muy acogedor y la atención es genial.,Hace un año en Google,5/5,PLAY House Quito,Hotel,"Julio Zaldumbide N24741, Quito 170109","('-0.2056418', '-78.4806273')",-0.2056418,-78.4806273,1.0,06/22/2023
"Excelente lugar, acogedor, bien ubicado, seguro y hermoso para disfrutar en todo concepto.",Hace 5 años en Google,5/5,PLAY House Quito,Hotel,"Julio Zaldumbide N24741, Quito 170109","('-0.2056418', '-78.4806273')",-0.2056418,-78.4806273,1.0,06/23/2019
