Comentario,Fecha,Estrellas,Nombre,Tipo Establecimiento,Tipo,Dirección,Coordenadas,Latitud,Longitud,Calificación,Fecha_numero
"El ambiente y la atención, bien . La comida no tarda mucho . El arroz mixto y el empachadito, estuvieron muy bien. El chopsue, no lo recomiendo.",Hace un mes,4 estrellas,La Pata Gorda Av. Isabel la Católica,Restaurante,Restaurante,"Av. Isabel la Católica, Quito 170109","('-0.2041773', '-78.4818066')",-0.2041773,-78.4818066,1,05/22/2024
"La veeerdad no me agrado para nada precios exhorbitantes para un arroz con 90% de salsa y sabor de ajo y el resto camarones pequeños y carne de cangrejo.
Todos los sabores muy sosos y salados, la verdad esperaba mucho de este lugar pero no recomiendo para los amantes del cangrejo.",Hace 2 meses,2 estrellas,La Pata Gorda Av. Isabel la Católica,Restaurante,Restaurante,"Av. Isabel la Católica, Quito 170109","('-0.2041773', '-78.4818066')",-0.2041773,-78.4818066,-1,04/22/2024
"Deliciosa comida, un local lindo, amplio y cómodo.",hace 4 días,5 estrellas,La Pata Gorda Av. Isabel la Católica,Restaurante,Restaurante,"Av. Isabel la Católica, Quito 170109","('-0.2041773', '-78.4818066')",-0.2041773,-78.4818066,1,06/21/2024
"Experiencia ambigua por un lado bien x otro mal
Lo bueno: amabilidad del personal y las patas de cangrejo.
Lo que puede mejorar: Wantanes de pulpo no los pidan!  Los primeros Vinieron medió crudos y llenos de aceite, me los cambiaron y los segundos tampoco estaban bien crocantes e igual súper grasosos.
El gerente del restaurante se acercó y aceptó q estaban mal así q todo ok no me los cobraron pero algo con ese plato tiene mal las proporciones para q sean unos wantanes perfectos y crocantes.",Hace 10 meses,3 estrellas,La Pata Gorda Av. Isabel la Católica,Restaurante,Restaurante,"Av. Isabel la Católica, Quito 170109","('-0.2041773', '-78.4818066')",-0.2041773,-78.4818066,0,08/26/2023
"Viernes 5 enero , 3 cangrejos criollos 1 dañado AMARGO y con la carne grumosa “mal nido “ supo decir el mesero, lo cambian y pido me empaquen para llevar o sorpresa el mismo cangrejo dañado hago la llamada me contesta el administrador local Isabel la católica  VINICIO que ellos no pueden verificar la calidad del cangrejo y que pueden hacer el cambio, regreso domingo 3 pm y responde que ayer se les acabaron los cangrejos de no creer! Que vuelva martes
Cuenta de $100 y les vale nada el administrador un nivel de respuestas increíble",Hace 5 meses,1 estrella,La Pata Gorda Av. Isabel la Católica,Restaurante,Restaurante,"Av. Isabel la Católica, Quito 170109","('-0.2041773', '-78.4818066')",-0.2041773,-78.4818066,-1,01/23/2024
"Salí decepcionada, el chop suey de cangrejo al ajillo, tenía el ajo puro nada cocinado, salí con aliento de dragón, demasiado costoso para lo que dan",Hace un mes,1 estrella,La Pata Gorda Av. Isabel la Católica,Restaurante,Restaurante,"Av. Isabel la Católica, Quito 170109","('-0.2041773', '-78.4818066')",-0.2041773,-78.4818066,-1,05/22/2024
"Para ser el cangrejal más caro los cangrejos deben ser frescos. Claramente eran descongelados o mal calentados de refrigeradora. Cuando uno es cangrejero sabe la textura del cangrejo recién hecho. Pegado y difícil de sacar. Excelente servicio de los chicos, pero debut y despedida para mi en ese local. Bien dijeron que lunes no llega cangrejos a Quito y que podia pasar esto, pero no lo esperaba de este restaurante.",Hace 2 meses,2 estrellas,La Pata Gorda Av. Isabel la Católica,Restaurante,Restaurante,"Av. Isabel la Católica, Quito 170109","('-0.2041773', '-78.4818066')",-0.2041773,-78.4818066,-1,04/22/2024
"Muy buen restaurante
Los Cangrejos tienes un sabor único
Para ser Quito.  Les recomiendo el chopsue criollo base cocolon
Los de servicios son muy amigable y atentos
Los cócteles son una delicia y su presentacion igual",Hace 2 meses,5 estrellas,La Pata Gorda Av. Isabel la Católica,Restaurante,Restaurante,"Av. Isabel la Católica, Quito 170109","('-0.2041773', '-78.4818066')",-0.2041773,-78.4818066,1,04/22/2024
"Me gusto mucho el lugar , la comida estuvo muy rica , la única falla tiene pocas opciones de vino les recomiendo aumentar su carta de licores",Hace 10 meses,4 estrellas,La Pata Gorda Av. Isabel la Católica,Restaurante,Restaurante,"Av. Isabel la Católica, Quito 170109","('-0.2041773', '-78.4818066')",-0.2041773,-78.4818066,1,08/26/2023
"Los visite hoy, nadie en la entrada nos ubicaron en una mesa junto a la caja que estaba incomoda y colocada en pleno paso nadie que tome la orden llamamos como a 3 meseros 12 minutos después tomaron la orden, no tenían todo lo del menú ni en comida ni en bebidas, y no comunicaron nada.
Los dedos de pollo más apanadura que pollo el empachadito muy similar al chopsue la comida fría y sobre todo el servicio pésimo, para pasar la cuenta otros 3 meseros sin recibir nada y 8 minutos más para el cobro, nos hacen llenar una encuesta en la que hay insatisfacción y nadie se acerca ni ha pedir disculpas y saber que paso.
No volvería ni lo recomiendo para nada
Comida en porción y sobretodo sabor  versus precio nada que ver.",Hace 3 meses,1 estrella,La Pata Gorda Av. Isabel la Católica,Restaurante,Restaurante,"Av. Isabel la Católica, Quito 170109","('-0.2041773', '-78.4818066')",-0.2041773,-78.4818066,-1,03/23/2024
"Comimos con toda mi familia, los platos muy buenos y la atención espectacular. Un gran lugar para comer en Quito.",Hace un mes,5 estrellas,La Pata Gorda Av. Isabel la Católica,Restaurante,Restaurante,"Av. Isabel la Católica, Quito 170109","('-0.2041773', '-78.4818066')",-0.2041773,-78.4818066,1,05/22/2024
"Un nivel de comida muy bajo frente a los otros locales, la atención lenta, fuimos con nuestra mascota y nos dieron una paleta de ""cortesía"" la cuál luego fue cobrada y no sabían cómo quitar ese cobro, el precio no es acorde a la comida",Hace un mes,2 estrellas,La Pata Gorda Av. Isabel la Católica,Restaurante,Restaurante,"Av. Isabel la Católica, Quito 170109","('-0.2041773', '-78.4818066')",-0.2041773,-78.4818066,-1,05/22/2024
"Este plato costó $13.95 y debía llevar arroz y aguacate , después de decirle a la mesera ,los llevo , no habían cangrejos , en general muy mala experiencia,  no valió la pena",Hace 11 meses,1 estrella,La Pata Gorda Av. Isabel la Católica,Restaurante,Restaurante,"Av. Isabel la Católica, Quito 170109","('-0.2041773', '-78.4818066')",-0.2041773,-78.4818066,-1,07/27/2023
Los platos no son espectaculares para el precio. El sabor es básico. No es una gran representación de la comida ecuatoriana,Hace 3 semanas,2 estrellas,La Pata Gorda Av. Isabel la Católica,Restaurante,Restaurante,"Av. Isabel la Católica, Quito 170109","('-0.2041773', '-78.4818066')",-0.2041773,-78.4818066,-1,05/31/2024
"La atención excelente. Pedimos dos chopsués, el sabor estuvo regular, el arroz no estaba bien hecho, parecía guardado y estaba frío. He comido en algunos locales, y la comida ha sido excelente. Pero el local de la Isabel la Católica estuvo pésimo.",Hace 7 meses,2 estrellas,La Pata Gorda Av. Isabel la Católica,Restaurante,Restaurante,"Av. Isabel la Católica, Quito 170109","('-0.2041773', '-78.4818066')",-0.2041773,-78.4818066,-1,11/24/2023
Excelente atención y la comida deliciosa!!  el lugar súper cómodo y lindo. Lo recomiendo 💯!,Hace un mes,5 estrellas,La Pata Gorda Av. Isabel la Católica,Restaurante,Restaurante,"Av. Isabel la Católica, Quito 170109","('-0.2041773', '-78.4818066')",-0.2041773,-78.4818066,1,05/22/2024
"El lugar es muy acogedor además me dieron una cortesía para mis perros, 100% recomendado",Hace un mes,5 estrellas,La Pata Gorda Av. Isabel la Católica,Restaurante,Restaurante,"Av. Isabel la Católica, Quito 170109","('-0.2041773', '-78.4818066')",-0.2041773,-78.4818066,1,05/22/2024
Me gustó muchísimo el trato y la comida 10/10! El chopsue es mi favorito!,Hace un mes,5 estrellas,La Pata Gorda Av. Isabel la Católica,Restaurante,Restaurante,"Av. Isabel la Católica, Quito 170109","('-0.2041773', '-78.4818066')",-0.2041773,-78.4818066,1,05/22/2024
Muy rica la comida y la atención muy cálida.,Hace 3 semanas,5 estrellas,La Pata Gorda Av. Isabel la Católica,Restaurante,Restaurante,"Av. Isabel la Católica, Quito 170109","('-0.2041773', '-78.4818066')",-0.2041773,-78.4818066,1,05/31/2024
"Terrible experiencia, esperamos más de una hora para que nos sirvan la comida, $14.00 por una ensalada de cangrejo completamente salada, incomible! El cangrejo congelado, cuando me queje fue un disculpe si quiere le cambio.. o sea otra hora más de espera lo que no iba a hacer, igual me cobraron y para pagar tuvimos que acercarnos a la caja ya que nadie nos ayudaba. En el pago se demoraron 20 minutos porque la chica no sabia bien como usar el sistema. En fin 20.00 entre ensalada y una limonada peor pagados.",Hace 9 meses,1 estrella,La Pata Gorda Av. Isabel la Católica,Restaurante,Restaurante,"Av. Isabel la Católica, Quito 170109","('-0.2041773', '-78.4818066')",-0.2041773,-78.4818066,-1,09/25/2023
"No estuvo excelente,  les dimos unas sugerencias al personal.
La atención muy buena",Hace 11 meses,4 estrellas,La Pata Gorda Av. Isabel la Católica,Restaurante,Restaurante,"Av. Isabel la Católica, Quito 170109","('-0.2041773', '-78.4818066')",-0.2041773,-78.4818066,1,07/27/2023
"La comida no es nada espectacular para el precio, pedimos y se demoraron demasiado en servir 4 platos. Para pagar se equivocaron en la factura porque pusieron cosas que no pedimos y tuvimos que esperar media hora hasta que nos pasen la nueva factura. No volvería, no recomiendo si hay mejores lugares en Quito para comer, me parece muy costoso para lo que sirven.",Hace 11 meses,1 estrella,La Pata Gorda Av. Isabel la Católica,Restaurante,Restaurante,"Av. Isabel la Católica, Quito 170109","('-0.2041773', '-78.4818066')",-0.2041773,-78.4818066,-1,07/27/2023
"El ambiente es bonito...la comida rica. no es económico, pero está bien. Lo único es que ...las dos veces que fui....ninguna de las dos veces tenían vino blanco.  Había solo vino tinto,.pero es un restaurante de pescados y mariscos....así que deberían tener vino blanco.
Como entrada pedimos ostras y la señorita quiso darnos vino tinto para acompañarlas.
A la final..como no había ni blanco ni rosado...pedimos sangria.",Hace 10 meses,4 estrellas,La Pata Gorda Av. Isabel la Católica,Restaurante,Restaurante,"Av. Isabel la Católica, Quito 170109","('-0.2041773', '-78.4818066')",-0.2041773,-78.4818066,1,08/26/2023
"Terrible. Me sirvieron cangrejos descongelados y estaban fríos todavía. Malísima la calidad de los cangrejos, nos pidieron  disculpas. Pero no pienso  volver nunca. Es un lugar bonito, la comida no es barata y sin embargo nuestra experiencia fue terrible.",Hace 10 meses,1 estrella,La Pata Gorda Av. Isabel la Católica,Restaurante,Restaurante,"Av. Isabel la Católica, Quito 170109","('-0.2041773', '-78.4818066')",-0.2041773,-78.4818066,-1,08/26/2023
"Comida muy muy buena, calidad precio excelente. Lastimosamente tuvimos una super mala experiencia con un mesero en este restaurant. Se enojo y finalizo muy mal el servicio porque no dejamos propina extra al 10% que ya se paga por servicio. Muy mal, deberian capacitar mejor a sus meseros",Hace 9 meses,2 estrellas,La Pata Gorda Av. Isabel la Católica,Restaurante,Restaurante,"Av. Isabel la Católica, Quito 170109","('-0.2041773', '-78.4818066')",-0.2041773,-78.4818066,-1,09/25/2023
"Se come rico en este lugar, cuentan con un espacio cómodo, amplio y agradable.  El servicio es bastante bueno, están pendientes y son muy amables. El tiempo de reacción (plato servido) fue un poco demorado para mi gusto y referencia, pero nada que no haga regresar.  Puedes parquear en la calle en zona azul.  Sitio recomendado 👌🏻",Hace un año,5 estrellas,La Pata Gorda Av. Isabel la Católica,Restaurante,Restaurante,"Av. Isabel la Católica, Quito 170109","('-0.2041773', '-78.4818066')",-0.2041773,-78.4818066,1,06/22/2023
"Muy buen sabor, pero muy pequeñas las porciones.",Hace 4 meses,4 estrellas,La Pata Gorda Av. Isabel la Católica,Restaurante,Restaurante,"Av. Isabel la Católica, Quito 170109","('-0.2041773', '-78.4818066')",-0.2041773,-78.4818066,1,02/22/2024
Buen lugar es muy bueno para comer y conversar,Hace un mes,4 estrellas,La Pata Gorda Av. Isabel la Católica,Restaurante,Restaurante,"Av. Isabel la Católica, Quito 170109","('-0.2041773', '-78.4818066')",-0.2041773,-78.4818066,1,05/22/2024
"Excelente!! Riquísimo !!
Servicio 10/10
Comida 10/10;",Hace un mes,5 estrellas,La Pata Gorda Av. Isabel la Católica,Restaurante,Restaurante,"Av. Isabel la Católica, Quito 170109","('-0.2041773', '-78.4818066')",-0.2041773,-78.4818066,1,05/22/2024
Nada que ver con el de Guayaquil.  Los precios exorbitantes y caros. Está vacío siempre. Aunque la atención es excelente 👌,Hace 5 meses,1 estrella,La Pata Gorda Av. Isabel la Católica,Restaurante,Restaurante,"Av. Isabel la Católica, Quito 170109","('-0.2041773', '-78.4818066')",-0.2041773,-78.4818066,-1,01/23/2024
"Pésimo servicio, caro, comida sin sabor, y la salsa de ají una copia mal hecha alguna picantería. No vuelvo más!",Hace 6 meses,1 estrella,La Pata Gorda Av. Isabel la Católica,Restaurante,Restaurante,"Av. Isabel la Católica, Quito 170109","('-0.2041773', '-78.4818066')",-0.2041773,-78.4818066,-1,12/24/2023
"Muy buena atención, lugar acogedor y muy atentos los trabajadores. Felicidades!!!🎉",Hace 3 meses,5 estrellas,La Pata Gorda Av. Isabel la Católica,Restaurante,Restaurante,"Av. Isabel la Católica, Quito 170109","('-0.2041773', '-78.4818066')",-0.2041773,-78.4818066,1,03/23/2024
"Espectacular! Deliciosa y variada comida, absolutamente recomendado el sitio. Tienen oferta de cócteles todos los días. Los precios son un tanto altos pero justificados.
El lugar es muy amplio, bien iluminado y ubicado.",Hace un año,5 estrellas,La Pata Gorda Av. Isabel la Católica,Restaurante,Restaurante,"Av. Isabel la Católica, Quito 170109","('-0.2041773', '-78.4818066')",-0.2041773,-78.4818066,1,06/22/2023
"El lugar y el servicio estuvo muy bien! El producto sin embargo no me gusto, me esperaba algo mas! Sobre todo por los precios! No estuvo mal, pero no regreso! Es cuestion de gustos esta vez!!!",Hace un año,4 estrellas,La Pata Gorda Av. Isabel la Católica,Restaurante,Restaurante,"Av. Isabel la Católica, Quito 170109","('-0.2041773', '-78.4818066')",-0.2041773,-78.4818066,1,06/22/2023
"Pesimo servicio en este local... nos tuvieron haciendo cola más de media hora, más de media hora para darnos la carta y media hora para tomar el pedido  para que al final diga el mesero que no tienen nada de cangrejos... no podían decirnos eso antes de esperar más de una hora ahí? No lo recomiendo... no regresaré nunca",Hace un año,1 estrella,La Pata Gorda Av. Isabel la Católica,Restaurante,Restaurante,"Av. Isabel la Católica, Quito 170109","('-0.2041773', '-78.4818066')",-0.2041773,-78.4818066,-1,06/22/2023
Es una muy buena opción para disfrutar del sabor de los cangrejos🦀🦀 son platos de gran sabor y porción. Sus cócteles son ricos y de una preparación bastante interesante.,Hace un año,5 estrellas,La Pata Gorda Av. Isabel la Católica,Restaurante,Restaurante,"Av. Isabel la Católica, Quito 170109","('-0.2041773', '-78.4818066')",-0.2041773,-78.4818066,1,06/22/2023
Delicioso vale la pena visitar este lugar dispone de una variedad de comida del mar increíble unas combinaciones exquisitas y tb unos cócteles súper buenos. Recomendado al 💯…,Hace un año,5 estrellas,La Pata Gorda Av. Isabel la Católica,Restaurante,Restaurante,"Av. Isabel la Católica, Quito 170109","('-0.2041773', '-78.4818066')",-0.2041773,-78.4818066,1,06/22/2023
"Siendo totalmente objetivo, y punto por punto

- coctail faro guayaco 5* (aunque nos pusieron la menta seca)
- chopsue criollo 4* (buen sabor, pero el cocolon y los maduros estaban frios y no tenia uñita de cangrejo)
- cangrejos criollos 2* (no estaban muy frescos, el sabor falta potencia principalmente sal, encurtido desabrido sin limón, maduros faltan cocción, se les termino las patas gordas)
- atención 4*
- local y ambiente 5*

En general la experiencia no es mala, pero para la reputación que tiene y los precios que cobran deben mejorar 👍",Hace un año,3 estrellas,La Pata Gorda Av. Isabel la Católica,Restaurante,Restaurante,"Av. Isabel la Católica, Quito 170109","('-0.2041773', '-78.4818066')",-0.2041773,-78.4818066,0,06/22/2023
"Recomendado , la comida es deliciosa. Excelente para los que somos amantes de los cangrejos",Hace 9 meses,5 estrellas,La Pata Gorda Av. Isabel la Católica,Restaurante,Restaurante,"Av. Isabel la Católica, Quito 170109","('-0.2041773', '-78.4818066')",-0.2041773,-78.4818066,1,09/25/2023
"La comida no es algo que sobresalga para el precio. Destaco los cocktails y la atención de Fernando en la barra, excelente servicio y experiencia.",Hace 10 meses,4 estrellas,La Pata Gorda Av. Isabel la Católica,Restaurante,Restaurante,"Av. Isabel la Católica, Quito 170109","('-0.2041773', '-78.4818066')",-0.2041773,-78.4818066,1,08/26/2023
"La comida muy salada me imagino fue por que le volvieron a hervir no me gusto la verdad, mala experiencia",Hace 7 meses,1 estrella,La Pata Gorda Av. Isabel la Católica,Restaurante,Restaurante,"Av. Isabel la Católica, Quito 170109","('-0.2041773', '-78.4818066')",-0.2041773,-78.4818066,-1,11/24/2023
"La comida es deliciosa, pero definitivamente los cangrejos no tienen la misma sazón que los Pata gorda de nuestro querido Guayaquil.",Hace un año,4 estrellas,La Pata Gorda Av. Isabel la Católica,Restaurante,Restaurante,"Av. Isabel la Católica, Quito 170109","('-0.2041773', '-78.4818066')",-0.2041773,-78.4818066,1,06/22/2023
"Acogedor lugar, muy buena atención, estimo los precios muy elevados, no existe relación costo - producto.",Hace 8 meses,4 estrellas,La Pata Gorda Av. Isabel la Católica,Restaurante,Restaurante,"Av. Isabel la Católica, Quito 170109","('-0.2041773', '-78.4818066')",-0.2041773,-78.4818066,1,10/25/2023
No tan bueno el sabor del cangrejo. Siempre que pido cangrejo pata gorda no lo tiene,Hace 6 meses,3 estrellas,La Pata Gorda Av. Isabel la Católica,Restaurante,Restaurante,"Av. Isabel la Católica, Quito 170109","('-0.2041773', '-78.4818066')",-0.2041773,-78.4818066,0,12/24/2023
"Los cangrejos estaban super salados, el curtido no tenía limón y la comida sobre valorada en general",Hace 7 meses,3 estrellas,La Pata Gorda Av. Isabel la Católica,Restaurante,Restaurante,"Av. Isabel la Católica, Quito 170109","('-0.2041773', '-78.4818066')",-0.2041773,-78.4818066,0,11/24/2023
Los  ceviches pueden mejorar.,Hace un mes,4 estrellas,La Pata Gorda Av. Isabel la Católica,Restaurante,Restaurante,"Av. Isabel la Católica, Quito 170109","('-0.2041773', '-78.4818066')",-0.2041773,-78.4818066,1,05/22/2024
Excelente atención y excelente comida SUPER RECOMENDADO,Hace un año,5 estrellas,La Pata Gorda Av. Isabel la Católica,Restaurante,Restaurante,"Av. Isabel la Católica, Quito 170109","('-0.2041773', '-78.4818066')",-0.2041773,-78.4818066,1,06/22/2023
Súper rico ! La atención genial y el Lugar es muy bonito para una cita,Hace 9 meses,5 estrellas,La Pata Gorda Av. Isabel la Católica,Restaurante,Restaurante,"Av. Isabel la Católica, Quito 170109","('-0.2041773', '-78.4818066')",-0.2041773,-78.4818066,1,09/25/2023
Me encanto la comida el cocol on estuvo 1000 puntos el 2x1 del cóctel estuvo muy rico,Hace un año,5 estrellas,La Pata Gorda Av. Isabel la Católica,Restaurante,Restaurante,"Av. Isabel la Católica, Quito 170109","('-0.2041773', '-78.4818066')",-0.2041773,-78.4818066,1,06/22/2023
Muy buenas comida. Bien los cangrejos!!,Hace 5 meses,4 estrellas,La Pata Gorda Av. Isabel la Católica,Restaurante,Restaurante,"Av. Isabel la Católica, Quito 170109","('-0.2041773', '-78.4818066')",-0.2041773,-78.4818066,1,01/23/2024
La comida deliciosa y la atención excelente,Hace 5 meses,5 estrellas,La Pata Gorda Av. Isabel la Católica,Restaurante,Restaurante,"Av. Isabel la Católica, Quito 170109","('-0.2041773', '-78.4818066')",-0.2041773,-78.4818066,1,01/23/2024
Local agradable pero muy frío,Hace 5 meses,3 estrellas,La Pata Gorda Av. Isabel la Católica,Restaurante,Restaurante,"Av. Isabel la Católica, Quito 170109","('-0.2041773', '-78.4818066')",-0.2041773,-78.4818066,0,01/23/2024
"Muy mala, caro para el tipo de platos, mal sabor, no volveré nunca, no lo recomiendo",Hace un año,1 estrella,La Pata Gorda Av. Isabel la Católica,Restaurante,Restaurante,"Av. Isabel la Católica, Quito 170109","('-0.2041773', '-78.4818066')",-0.2041773,-78.4818066,-1,06/22/2023
Yo fui por los cangrejos y son demasiados buenos y literal pata gorda 🤭🤤,Hace 8 meses,5 estrellas,La Pata Gorda Av. Isabel la Católica,Restaurante,Restaurante,"Av. Isabel la Católica, Quito 170109","('-0.2041773', '-78.4818066')",-0.2041773,-78.4818066,1,10/25/2023
Porciones grandes y muy buenas,Hace 6 meses,5 estrellas,La Pata Gorda Av. Isabel la Católica,Restaurante,Restaurante,"Av. Isabel la Católica, Quito 170109","('-0.2041773', '-78.4818066')",-0.2041773,-78.4818066,1,12/24/2023
"La comida rica, pero las porciones son pequeñas. El servicio al cliente excelente",Hace un año,4 estrellas,La Pata Gorda Av. Isabel la Católica,Restaurante,Restaurante,"Av. Isabel la Católica, Quito 170109","('-0.2041773', '-78.4818066')",-0.2041773,-78.4818066,1,06/22/2023
"Excelente servicio, comida mediterránea deliciosa, hay música en vivo",Hace un año,5 estrellas,La Pata Gorda Av. Isabel la Católica,Restaurante,Restaurante,"Av. Isabel la Católica, Quito 170109","('-0.2041773', '-78.4818066')",-0.2041773,-78.4818066,1,06/22/2023
"Bonito lugar,buena comida",Hace 6 meses,4 estrellas,La Pata Gorda Av. Isabel la Católica,Restaurante,Restaurante,"Av. Isabel la Católica, Quito 170109","('-0.2041773', '-78.4818066')",-0.2041773,-78.4818066,1,12/24/2023
Delicioso,Hace 11 meses,5 estrellas,La Pata Gorda Av. Isabel la Católica,Restaurante,Restaurante,"Av. Isabel la Católica, Quito 170109","('-0.2041773', '-78.4818066')",-0.2041773,-78.4818066,1,07/27/2023
La comida es excelente,Hace un año,5 estrellas,La Pata Gorda Av. Isabel la Católica,Restaurante,Restaurante,"Av. Isabel la Católica, Quito 170109","('-0.2041773', '-78.4818066')",-0.2041773,-78.4818066,1,06/22/2023
Lugar bonito buena atención  comida muy buena sazón super buena,Hace un año,5 estrellas,La Pata Gorda Av. Isabel la Católica,Restaurante,Restaurante,"Av. Isabel la Católica, Quito 170109","('-0.2041773', '-78.4818066')",-0.2041773,-78.4818066,1,06/22/2023
5 en todo👌🏅,Hace 8 meses,5 estrellas,La Pata Gorda Av. Isabel la Católica,Restaurante,Restaurante,"Av. Isabel la Católica, Quito 170109","('-0.2041773', '-78.4818066')",-0.2041773,-78.4818066,1,10/25/2023
Excelente lugar.,Hace 2 meses,5 estrellas,La Pata Gorda Av. Isabel la Católica,Restaurante,Restaurante,"Av. Isabel la Católica, Quito 170109","('-0.2041773', '-78.4818066')",-0.2041773,-78.4818066,1,04/22/2024
"Esperaba más del sabor de la comida, la presentación es normal.",Hace un año,4 estrellas,La Pata Gorda Av. Isabel la Católica,Restaurante,Restaurante,"Av. Isabel la Católica, Quito 170109","('-0.2041773', '-78.4818066')",-0.2041773,-78.4818066,1,06/22/2023
Todo delicioso y su coctel exquisito,Hace un año,5 estrellas,La Pata Gorda Av. Isabel la Católica,Restaurante,Restaurante,"Av. Isabel la Católica, Quito 170109","('-0.2041773', '-78.4818066')",-0.2041773,-78.4818066,1,06/22/2023
La comida deliciosa y el servicio muy atento,Hace un año,5 estrellas,La Pata Gorda Av. Isabel la Católica,Restaurante,Restaurante,"Av. Isabel la Católica, Quito 170109","('-0.2041773', '-78.4818066')",-0.2041773,-78.4818066,1,06/22/2023
Servicio al cliente es recontra malo!,Hace un año,2 estrellas,La Pata Gorda Av. Isabel la Católica,Restaurante,Restaurante,"Av. Isabel la Católica, Quito 170109","('-0.2041773', '-78.4818066')",-0.2041773,-78.4818066,-1,06/22/2023
Pésimo servicio... pésimos meseros..,Hace un año,1 estrella,La Pata Gorda Av. Isabel la Católica,Restaurante,Restaurante,"Av. Isabel la Católica, Quito 170109","('-0.2041773', '-78.4818066')",-0.2041773,-78.4818066,-1,06/22/2023
Nadie atiende en ese teléfono una avergüenza publican un número y no atienden.,Hace un año,1 estrella,La Pata Gorda Av. Isabel la Católica,Restaurante,Restaurante,"Av. Isabel la Católica, Quito 170109","('-0.2041773', '-78.4818066')",-0.2041773,-78.4818066,-1,06/22/2023
"Exelente, recomendado 👍🏻👍🏻👍🏻👍🏻👍🏻",Hace 7 meses,5 estrellas,La Pata Gorda Av. Isabel la Católica,Restaurante,Restaurante,"Av. Isabel la Católica, Quito 170109","('-0.2041773', '-78.4818066')",-0.2041773,-78.4818066,1,11/24/2023
Me encantó,Hace un año,5 estrellas,La Pata Gorda Av. Isabel la Católica,Restaurante,Restaurante,"Av. Isabel la Católica, Quito 170109","('-0.2041773', '-78.4818066')",-0.2041773,-78.4818066,1,06/22/2023
Buena comida costeña,Hace un año,5 estrellas,La Pata Gorda Av. Isabel la Católica,Restaurante,Restaurante,"Av. Isabel la Católica, Quito 170109","('-0.2041773', '-78.4818066')",-0.2041773,-78.4818066,1,06/22/2023
Buen lugar,Hace 8 meses,5 estrellas,La Pata Gorda Av. Isabel la Católica,Restaurante,Restaurante,"Av. Isabel la Católica, Quito 170109","('-0.2041773', '-78.4818066')",-0.2041773,-78.4818066,1,10/25/2023
"¿Dónde está el sabor, dónde está el cangrejo? Teníamos varios platos de cangrejo con y sin arroz. Todo el cangrejo es trozos pequeños y tenía poco o ningún sabor. Todas las diferentes salsas parecían tener el mismo sabor. La presentación fue bonita pero el resultado final no lo fue. ¡Salgamos de aquí!",Hace 8 meses,2 estrellas,La Pata Gorda Av. Isabel la Católica,Restaurante,Restaurante,"Av. Isabel la Católica, Quito 170109","('-0.2041773', '-78.4818066')",-0.2041773,-78.4818066,-1,10/25/2023
