Nombre,Comentario Negativo,Comentario Neutro,Comentario Positivo,Total de Comentarios,Tipo Establecimiento,Tipo,Dirección,Coordenadas,Latitud,Longitud
Abysmo GastroPub UIO,41,51,732,824,Bar,Cervecería artesanal,"LA MARISCAL, Ave 12 de Octubre 24-131, Quito 170523","('-0.2065498', '-78.4882573')",-0.2065498,-78.4882573
Duff Resto Bar,6,1,43,50,Bar,Pub restaurante,"Av. Juan Leon Mera, y, Quito 170143","('-0.2015274', '-78.4904835')",-0.2015274,-78.4904835
Finn McCool's,34,57,499,590,Bar,Pub irlandés,"Diego de Almagro N24-64, Quito 170143","('-0.2038712', '-78.4907913')",-0.2038712,-78.4907913
Holy Krank Pub,2,7,152,161,Bar,Pub,"Luis Cordero E10-55, Quito 170143","('-0.2045138', '-78.4855715')",-0.2045138,-78.4855715
Indie Beer Company,7,5,68,80,Bar,Bar,"Joaquín Pinto, Quito 170143","('-0.2037081', '-78.4911671')",-0.2037081,-78.4911671
La Santa Cantina Pop,81,29,132,242,Bar,Bar,"Av. Isabel la Católica, Quito 170143","('-0.2054746', '-78.4842833')",-0.2054746,-78.4842833
Lucky Charm Pub & Beer,3,5,22,30,Bar,Bar,"La, Joaquín Pinto E7-39, Quito 170143","('-0.2033415', '-78.4911748')",-0.2033415,-78.4911748
Odeon Pub House,3,1,16,20,Bar,Bar,"José Calama, Quito 171103","('-0.2026221', '-78.4904497')",-0.2026221,-78.4904497
Rock & Beef Resto-Bar,5,6,69,80,Bar,Bar restaurante,"Simón Bolívar, Quito 170524","('-0.2033644', '-78.4912418')",-0.2033644,-78.4912418
SINNERS Microcervecería Floresta,20,20,539,579,Bar,Pub,"Andalucía N24-368 y, Quito 170109","('-0.2058599', '-78.4837398')",-0.2058599,-78.4837398
The Boot Sports Bar,8,4,38,50,Bar,Bar deportivo,"Reina Victoria, y, Quito 170143","('-0.202881', '-78.4915618')",-0.202881,-78.4915618
Tijuana,7,6,37,50,Bar,Bar,"Juan León Mera Quito, Mariscal Foch E24-230, Quito 170143","('-0.2016913', '-78.490627')",-0.2016913,-78.490627
Zmus Bar,11,19,180,210,Bar,Bar,Quito 170143,"('-0.2030834', '-78.4896909')",-0.2030834,-78.4896909
1037 Restaurante,0,0,4,4,Restaurante,Restaurante,"Mariscal Foch E10-37, Quito 170143","('-0.2063117', '-78.4884072')",-0.2063117,-78.4884072
Alitas Benditas,54,53,605,712,Restaurante,Restaurante de alas de pollo,"Isabel La Católica, N12 54, Quito 170109","('-0.204519', '-78.4819119')",-0.204519,-78.4819119
Casa Warmi,39,41,682,762,Restaurante,Restaurante ecuatoriano,"Pontevedra N24-240, Quito 170143","('-0.2086763', '-78.4839833')",-0.2086763,-78.4839833
EL PULPO RESTAURANTE OFICIAL,31,29,273,333,Restaurante,Restaurante,"Mallorca 24-282, Quito 170525","('-0.20966', '-78.4826802')",-0.20966,-78.4826802
El Pescador Restaurant,21,14,420,455,Restaurante,Marisquería,"Pontevedra N24 545, Quito 170143","('-0.2072949', '-78.4825218')",-0.2072949,-78.4825218
